request_id,device_id,primary_port,vlan_id
159,4,1,28
159,4,0,28
160,3,1,71
161,3,1,72
162,4,1,72
163,0,1,29
163,0,0,29
164,3,1,73
165,4,1,73
166,1,0,29
166,1,1,29
167,4,1,74
168,3,1,75
169,4,0,29
169,4,1,29
170,4,1,75
171,3,1,76
172,0,1,30
172,0,0,30
173,1,1,30
173,1,0,30
174,4,1,76
175,3,1,77
176,3,1,78
177,2,1,30
177,2,0,30
178,4,1,78
179,2,1,31
179,2,0,31
180,4,0,31
180,4,1,31
181,0,1,32
181,0,0,32
182,3,1,79
183,1,1,32
183,1,0,32
184,4,1,79
185,2,1,32
185,2,0,32
186,4,0,32
186,4,1,32
187,0,0,33
187,0,1,33
188,3,1,80
189,1,0,33
189,1,1,33
190,4,0,33
190,4,1,33
191,0,0,34
191,0,1,34
192,1,1,34
192,1,0,34
193,3,1,81
194,2,1,34
194,2,0,34
195,4,1,81
196,4,0,34
196,4,1,34
197,0,1,35
197,0,0,35
198,1,1,35
198,1,0,35
199,4,1,82
200,4,1,84
201,2,1,35
201,2,0,35
202,3,1,85
203,4,1,35
203,4,0,35
204,4,1,85
205,0,1,36
205,0,0,36
206,3,1,88
207,4,1,88
208,2,0,36
208,2,1,36
209,0,1,37
209,0,0,37
210,3,1,89
211,4,1,89
212,3,1,90
213,0,1,38
213,0,0,38
214,2,0,38
214,2,1,38
215,3,1,92
216,4,1,92
217,4,1,93
218,4,1,94
219,4,0,38
219,4,1,38
220,0,1,39
220,0,0,39
221,4,1,95
222,1,1,39
222,1,0,39
223,4,1,39
223,4,0,39
224,3,1,96
225,0,0,40
225,0,1,40
226,2,1,40
226,2,0,40
227,4,1,96
228,0,0,41
228,0,1,41
229,3,1,97
230,4,1,97
231,2,1,41
231,2,0,41
232,4,1,41
232,4,0,41
233,0,1,42
233,0,0,42
234,3,1,98
235,2,1,42
235,2,0,42
236,4,1,42
236,4,0,42
237,4,1,99
238,0,0,43
238,0,1,43
239,1,1,43
239,1,0,43
240,3,1,100
241,4,1,100
242,3,1,101
243,4,1,101
244,4,1,43
244,4,0,43
245,4,1,103
246,0,0,44
246,0,1,44
247,3,1,104
248,1,1,44
248,1,0,44
249,2,0,44
249,2,1,44
250,3,1,105
251,4,0,44
251,4,1,44
252,0,1,45
252,0,0,45
253,2,1,45
253,2,0,45
254,4,1,105
255,3,1,106
256,4,1,45
256,4,0,45
257,0,1,46
257,0,0,46
258,4,1,106
259,1,0,46
259,1,1,46
260,4,1,46
260,4,0,46
261,0,1,47
261,0,0,47
262,3,1,107
263,4,1,107
264,1,0,47
264,1,1,47
265,3,1,108
266,2,0,47
266,2,1,47
267,4,1,108
268,4,1,109
269,4,1,47
269,4,0,47
270,0,0,48
270,0,1,48
271,3,1,110
272,4,0,48
272,4,1,48
273,0,0,49
273,0,1,49
274,1,1,49
274,1,0,49
275,2,1,49
275,2,0,49
276,0,1,50
276,0,0,50
277,4,1,110
278,3,1,111
279,1,0,50
279,1,1,50
280,2,0,50
280,2,1,50
281,4,1,50
281,4,0,50
282,4,1,111
283,0,0,51
283,0,1,51
284,1,0,51
284,1,1,51
285,4,0,51
285,4,1,51
286,3,1,112
287,0,0,52
287,0,1,52
288,4,1,112
289,2,0,52
289,2,1,52
290,3,1,113
291,4,1,113
292,3,1,114
293,4,1,114
294,4,0,52
294,4,1,52
295,0,0,53
295,0,1,53
296,3,1,115
297,1,0,53
297,1,1,53
298,4,1,115
299,2,0,53
299,2,1,53
300,3,1,116
301,4,1,116
302,4,1,117
303,3,1,118
304,4,1,118
305,4,1,53
305,4,0,53
306,4,1,119
307,3,1,120
308,4,1,122
309,1,1,54
309,1,0,54
310,3,1,123
311,4,1,123
312,3,1,124
313,0,1,55
313,0,0,55
314,1,0,55
314,1,1,55
315,4,1,125
316,2,0,55
316,2,1,55
317,3,1,126
318,3,1,127
319,4,1,127
320,0,1,56
320,0,0,56
321,4,1,128
322,1,1,56
322,1,0,56
323,0,1,57
323,0,0,57
324,3,1,130
325,4,1,130
326,4,1,131
327,1,0,57
327,1,1,57
328,3,1,132
329,2,0,57
329,2,1,57
330,4,1,132
331,1,0,58
331,1,1,58
332,3,1,133
333,2,1,58
333,2,0,58
334,4,0,58
334,4,1,58
335,4,1,133
336,0,1,59
336,0,0,59
337,3,1,134
338,4,1,134
339,1,0,59
339,1,1,59
340,2,1,59
340,2,0,59
341,3,1,135
342,4,1,59
342,4,0,59
343,3,1,136
344,1,0,60
344,1,1,60
345,4,0,60
345,4,1,60
346,4,1,136
347,0,1,61
347,0,0,61
348,3,1,137
349,4,1,138
350,4,1,139
351,3,1,140
352,4,1,140
353,3,1,141
354,2,1,61
354,2,0,61
355,4,1,142
356,4,1,143
357,3,1,144
358,4,1,144
359,4,1,146
360,4,1,61
360,4,0,61
361,0,0,62
361,0,1,62
362,1,0,62
362,1,1,62
363,4,1,147
364,2,0,62
364,2,1,62
365,4,1,148
366,4,1,62
366,4,0,62
367,4,1,149
368,3,1,150
369,4,1,150
370,3,1,151
371,3,1,152
372,0,1,63
372,0,0,63
373,4,1,152
374,3,1,153
375,1,1,63
375,1,0,63
376,2,1,63
376,2,0,63
377,3,1,154
378,4,0,63
378,4,1,63
379,0,0,64
379,0,1,64
380,4,1,154
381,1,1,64
381,1,0,64
382,2,1,64
382,2,0,64
383,0,1,65
383,0,0,65
384,4,1,155
385,3,1,156
386,4,1,156
387,3,1,157
388,4,1,157
389,3,1,158
390,4,1,158
391,1,1,65
391,1,0,65
392,2,1,65
392,2,0,65
393,4,1,65
393,4,0,65
394,3,1,159
395,4,1,159
396,0,0,66
396,0,1,66
397,3,1,160
398,1,1,66
398,1,0,66
399,2,0,66
399,2,1,66
400,4,0,66
400,4,1,66
401,4,1,160
402,3,1,162
403,0,0,67
403,0,1,67
404,4,1,162
405,1,0,67
405,1,1,67
406,4,1,163
407,3,1,164
408,4,1,164
409,3,1,165
410,4,1,165
411,3,1,166
412,4,1,166
413,4,1,167
414,2,1,67
414,2,0,67
415,4,1,168
416,4,1,67
416,4,0,67
417,4,1,169
418,1,1,68
418,1,0,68
419,4,1,68
419,4,0,68
420,3,1,170
421,0,0,69
421,0,1,69
422,3,1,171
423,1,0,69
423,1,1,69
424,2,0,69
424,2,1,69
425,3,1,172
426,4,1,172
427,3,1,173
428,3,1,174
429,4,1,69
429,4,0,69
430,3,1,175
431,4,1,175
432,3,1,176
433,4,1,177
434,3,1,178
435,1,1,70
435,1,0,70
436,2,0,70
436,2,1,70
437,4,1,178
438,3,1,179
439,3,1,180
440,4,1,180
441,4,0,70
441,4,1,70
442,0,1,71
442,0,0,71
443,1,0,71
443,1,1,71
444,3,1,181
445,0,1,72
445,0,0,72
446,4,1,181
447,3,1,182
448,2,0,72
448,2,1,72
449,4,1,182
450,4,0,72
450,4,1,72
451,0,0,73
451,0,1,73
452,3,1,183
453,4,1,183
454,3,1,184
455,1,0,73
455,1,1,73
456,2,0,73
456,2,1,73
457,4,0,73
457,4,1,73
458,0,0,74
458,0,1,74
459,1,0,74
459,1,1,74
460,2,0,74
460,2,1,74
461,4,1,74
461,4,0,74
462,4,1,185
463,3,1,186
464,4,1,186
465,3,1,187
466,4,1,187
467,4,1,75
467,4,0,75
468,1,1,76
468,1,0,76
469,2,0,76
469,2,1,76
470,3,1,188
471,4,1,188
472,3,1,189
473,3,1,190
474,4,1,76
474,4,0,76
475,0,0,77
475,0,1,77
476,2,0,77
476,2,1,77
477,4,1,190
478,3,1,191
479,4,1,191
480,2,0,78
480,2,1,78
481,4,1,78
481,4,0,78
482,3,1,192
483,0,0,79
483,0,1,79
484,1,1,79
484,1,0,79
485,4,1,192
486,2,0,79
486,2,1,79
487,4,1,79
487,4,0,79
488,3,1,193
489,0,0,80
489,0,1,80
490,4,1,193
491,1,0,80
491,1,1,80
492,3,1,194
493,4,1,194
494,2,0,80
494,2,1,80
495,3,1,195
496,3,1,196
497,4,1,196
498,3,1,197
499,4,1,197
500,3,1,198
501,0,0,81
501,0,1,81
502,4,1,198
503,3,1,199
504,4,0,81
504,4,1,81
505,0,0,82
505,0,1,82
506,2,1,82
506,2,0,82
507,4,1,199
508,4,1,82
508,4,0,82
509,0,1,83
509,0,0,83
510,4,1,200
511,3,1,201
512,4,1,201
513,3,1,202
514,4,1,202
515,3,1,203
516,4,1,203
517,3,1,204
518,2,0,83
518,2,1,83
519,4,1,204
520,0,0,84
520,0,1,84
521,3,1,205
522,2,0,84
522,2,1,84
523,4,0,84
523,4,1,84
524,4,1,205
525,0,1,85
525,0,0,85
526,3,1,206
527,2,1,85
527,2,0,85
528,4,1,206
529,4,1,85
529,4,0,85
530,3,1,207
531,0,1,86
531,0,0,86
532,4,1,207
533,1,1,86
533,1,0,86
534,3,1,208
535,2,1,86
535,2,0,86
536,0,1,87
536,0,0,87
537,4,1,208
538,4,1,209
539,3,1,210
540,1,0,87
540,1,1,87
541,4,1,210
542,2,1,87
542,2,0,87
543,0,1,88
543,0,0,88
544,2,1,88
544,2,0,88
545,3,1,211
546,4,1,88
546,4,0,88
547,0,1,89
547,0,0,89
548,4,1,211
549,3,1,212
550,3,1,213
551,4,1,213
552,1,1,89
552,1,0,89
553,3,1,214
554,2,1,89
554,2,0,89
555,4,1,89
555,4,0,89
556,4,1,214
557,3,1,215
558,1,0,90
558,1,1,90
559,4,1,215
560,3,1,216
561,2,0,90
561,2,1,90
562,4,1,216
563,0,1,91
563,0,0,91
564,1,1,91
564,1,0,91
565,4,1,217
566,2,0,91
566,2,1,91
567,0,1,92
567,0,0,92
568,3,1,218
569,4,1,218
570,3,1,219
571,3,1,220
572,1,1,92
572,1,0,92
573,3,1,221
574,4,1,221
575,3,1,222
576,2,0,92
576,2,1,92
577,4,1,222
578,4,1,92
578,4,0,92
579,3,1,223
580,4,1,223
581,0,1,93
581,0,0,93
582,2,1,93
582,2,0,93
583,4,0,93
583,4,1,93
584,1,1,94
584,1,0,94
585,3,1,224
586,2,1,94
586,2,0,94
587,4,0,94
587,4,1,94
588,4,1,224
589,4,1,225
590,3,1,226
591,4,1,226
592,3,1,227
593,3,1,228
594,3,1,229
595,0,0,95
595,0,1,95
596,2,0,95
596,2,1,95
597,3,1,230
598,4,0,95
598,4,1,95
599,0,1,96
599,0,0,96
600,3,1,231
601,1,0,96
601,1,1,96
602,2,0,96
602,2,1,96
603,4,1,231
604,3,1,232
605,4,0,96
605,4,1,96
606,0,1,97
606,0,0,97
607,4,1,97
607,4,0,97
608,0,0,98
608,0,1,98
609,2,1,98
609,2,0,98
610,4,1,232
611,0,1,99
611,0,0,99
612,3,1,233
613,4,1,233
614,1,1,99
614,1,0,99
615,3,1,234
616,2,1,99
616,2,0,99
617,4,1,234
618,3,1,236
619,4,1,236
620,4,0,99
620,4,1,99
621,3,1,237
622,2,1,100
622,2,0,100
623,4,1,100
623,4,0,100
624,0,0,101
624,0,1,101
625,3,1,238
626,1,1,101
626,1,0,101
627,2,0,101
627,2,1,101
628,3,1,239
629,4,1,239
630,4,1,240
631,3,1,241
632,4,0,101
632,4,1,101
633,4,1,241
634,3,1,242
635,0,0,102
635,0,1,102
636,4,1,242
637,1,1,102
637,1,0,102
638,2,0,102
638,2,1,102
639,0,0,103
639,0,1,103
640,1,0,103
640,1,1,103
641,3,1,243
642,2,0,103
642,2,1,103
643,4,1,243
644,3,1,244
645,4,0,103
645,4,1,103
646,0,1,104
646,0,0,104
647,3,1,245
648,1,0,104
648,1,1,104
649,4,1,246
650,3,1,247
651,4,1,249
652,2,0,105
652,2,1,105
653,3,1,250
654,4,1,105
654,4,0,105
655,4,1,250
656,1,1,106
656,1,0,106
657,4,1,251
658,3,1,252
659,3,1,253
660,2,1,106
660,2,0,106
661,4,1,106
661,4,0,106
662,4,1,253
663,1,0,107
663,1,1,107
664,3,1,254
665,4,1,254
666,4,1,255
667,3,1,256
668,2,1,107
668,2,0,107
669,4,1,256
670,4,0,107
670,4,1,107
671,1,0,108
671,1,1,108
672,2,1,108
672,2,0,108
673,4,1,108
673,4,0,108
674,0,0,109
674,0,1,109
675,3,1,257
676,1,0,109
676,1,1,109
677,3,1,258
678,2,0,109
678,2,1,109
679,4,1,258
680,3,1,259
681,4,1,259
682,4,0,109
682,4,1,109
683,0,0,110
683,0,1,110
684,2,0,110
684,2,1,110
685,4,1,260
686,4,0,110
686,4,1,110
687,0,1,111
687,0,0,111
688,1,1,111
688,1,0,111
689,2,0,111
689,2,1,111
690,3,1,261
691,3,1,262
692,4,0,111
692,4,1,111
693,0,1,112
693,0,0,112
694,1,1,112
694,1,0,112
695,2,0,112
695,2,1,112
696,4,1,112
696,4,0,112
697,4,1,262
698,0,1,113
698,0,0,113
699,4,1,263
700,3,1,264
701,4,1,264
702,1,1,113
702,1,0,113
703,3,1,265
704,4,1,265
705,2,1,113
705,2,0,113
706,4,1,113
706,4,0,113
707,3,1,266
708,0,1,114
708,0,0,114
709,3,1,267
710,1,0,114
710,1,1,114
711,2,0,114
711,2,1,114
712,4,0,114
712,4,1,114
713,4,1,267
714,0,1,115
714,0,0,115
715,4,1,115
715,4,0,115
716,4,1,268
717,3,1,269
718,0,0,116
718,0,1,116
719,1,0,116
719,1,1,116
720,4,1,269
721,2,0,116
721,2,1,116
722,3,1,270
723,4,1,270
724,3,1,272
725,4,1,116
725,4,0,116
726,1,1,117
726,1,0,117
727,2,1,117
727,2,0,117
728,4,1,117
728,4,0,117
729,0,1,118
729,0,0,118
730,1,0,118
730,1,1,118
731,2,0,118
731,2,1,118
732,4,1,272
733,4,0,118
733,4,1,118
734,3,1,273
735,4,1,273
736,0,1,119
736,0,0,119
737,3,1,274
738,1,1,119
738,1,0,119
739,2,0,119
739,2,1,119
740,4,0,119
740,4,1,119
741,1,1,120
741,1,0,120
742,2,1,120
742,2,0,120
743,4,1,274
744,0,1,121
744,0,0,121
745,1,0,121
745,1,1,121
746,3,1,275
747,2,1,121
747,2,0,121
748,0,0,122
748,0,1,122
749,4,1,275
750,4,1,122
750,4,0,122
751,1,1,123
751,1,0,123
752,3,1,276
753,2,0,123
753,2,1,123
754,4,1,123
754,4,0,123
755,0,0,124
755,0,1,124
756,2,0,124
756,2,1,124
757,0,0,125
757,0,1,125
758,3,1,277
759,4,0,125
759,4,1,125
760,1,1,126
760,1,0,126
761,0,1,127
761,0,0,127
762,1,0,127
762,1,1,127
763,2,1,127
763,2,0,127
764,4,1,277
765,4,1,127
765,4,0,127
766,3,1,278
767,4,1,278
768,0,0,128
768,0,1,128
769,1,1,128
769,1,0,128
770,4,1,279
771,4,1,281
772,2,0,128
772,2,1,128
773,4,0,128
773,4,1,128
774,3,1,282
775,4,1,282
776,3,1,283
777,4,1,283
778,1,0,130
778,1,1,130
779,3,1,284
780,3,1,285
781,2,1,130
781,2,0,130
782,4,1,285
783,4,0,130
783,4,1,130
784,3,1,286
785,0,1,131
785,0,0,131
786,2,1,131
786,2,0,131
787,4,0,131
787,4,1,131
788,4,1,286
789,1,0,132
789,1,1,132
790,3,1,287
791,4,1,287
792,2,0,132
792,2,1,132
793,3,1,288
794,4,1,288
795,4,0,132
795,4,1,132
796,3,1,290
797,4,1,290
798,1,0,133
798,1,1,133
799,3,1,291
800,2,1,133
800,2,0,133
801,3,1,292
802,4,1,133
802,4,0,133
803,3,1,293
804,0,0,134
804,0,1,134
805,1,1,134
805,1,0,134
806,4,1,293
807,2,0,134
807,2,1,134
808,4,1,134
808,4,0,134
809,0,1,135
809,0,0,135
810,3,1,294
811,4,1,294
812,1,0,135
812,1,1,135
813,2,1,135
813,2,0,135
814,0,1,136
814,0,0,136
815,1,0,136
815,1,1,136
816,3,1,295
817,2,0,136
817,2,1,136
818,4,1,295
819,4,1,296
820,4,1,297
821,4,1,298
822,4,1,136
822,4,0,136
823,3,1,299
824,0,1,137
824,0,0,137
825,4,1,299
826,1,0,137
826,1,1,137
827,2,0,137
827,2,1,137
828,0,1,138
828,0,0,138
829,3,1,300
830,4,1,300
831,3,1,301
832,1,0,138
832,1,1,138
833,2,0,138
833,2,1,138
834,4,1,301
835,4,1,138
835,4,0,138
836,3,1,302
837,0,1,139
837,0,0,139
838,1,0,139
838,1,1,139
839,4,1,139
839,4,0,139
840,4,1,302
841,0,0,140
841,0,1,140
842,1,1,140
842,1,0,140
843,3,1,303
844,4,1,303
845,3,1,304
846,2,1,140
846,2,0,140
847,4,1,140
847,4,0,140
848,1,0,141
848,1,1,141
849,4,1,304
850,0,0,142
850,0,1,142
851,3,1,305
852,3,1,306
853,4,1,306
854,3,1,307
855,1,1,142
855,1,0,142
856,2,1,142
856,2,0,142
857,4,1,142
857,4,0,142
858,1,1,143
858,1,0,143
859,4,1,307
860,3,1,308
861,2,1,143
861,2,0,143
862,4,1,308
863,4,0,143
863,4,1,143
864,3,1,309
865,4,1,310
866,3,1,311
867,4,1,311
868,1,1,144
868,1,0,144
869,2,1,144
869,2,0,144
870,3,1,312
871,4,1,312
872,4,1,144
872,4,0,144
873,3,1,313
874,0,1,145
874,0,0,145
875,4,1,313
876,3,1,314
877,1,0,145
877,1,1,145
878,4,1,314
879,2,1,145
879,2,0,145
880,3,1,316
881,4,1,316
882,3,1,317
883,0,1,146
883,0,0,146
884,1,0,146
884,1,1,146
885,2,1,146
885,2,0,146
886,4,1,146
886,4,0,146
887,4,1,317
888,0,0,147
888,0,1,147
889,1,0,147
889,1,1,147
890,4,1,147
890,4,0,147
891,3,1,318
892,4,1,318
893,0,0,148
893,0,1,148
894,3,1,319
895,1,1,148
895,1,0,148
896,4,1,319
897,3,1,320
898,4,1,320
899,4,0,148
899,4,1,148
900,1,1,149
900,1,0,149
901,4,1,321
902,3,1,322
903,4,1,322
904,3,1,323
905,2,0,149
905,2,1,149
906,3,1,324
907,4,1,149
907,4,0,149
908,3,1,325
909,4,1,325
910,3,1,326
911,0,1,150
911,0,0,150
912,1,0,150
912,1,1,150
913,4,1,327
914,2,0,150
914,2,1,150
915,4,0,150
915,4,1,150
916,3,1,328
917,3,1,330
918,0,1,151
918,0,0,151
919,3,1,331
920,1,1,151
920,1,0,151
921,4,1,331
922,2,0,151
922,2,1,151
923,3,1,332
924,1,0,152
924,1,1,152
925,2,0,152
925,2,1,152
926,4,1,332
927,3,1,333
928,4,1,152
928,4,0,152
929,0,1,153
929,0,0,153
930,3,1,334
931,1,1,153
931,1,0,153
932,2,0,153
932,2,1,153
933,0,0,154
933,0,1,154
934,1,0,154
934,1,1,154
935,4,1,154
935,4,0,154
936,4,1,335
937,0,0,155
937,0,1,155
938,1,0,155
938,1,1,155
939,3,1,336
940,4,1,336
941,2,0,155
941,2,1,155
942,4,1,155
942,4,0,155
943,3,1,337
944,0,0,156
944,0,1,156
945,4,1,338
946,3,1,339
947,1,1,156
947,1,0,156
948,2,0,156
948,2,1,156
949,4,1,339
950,4,1,340
951,4,1,341
952,4,0,156
952,4,1,156
953,1,0,157
953,1,1,157
954,4,1,157
954,4,0,157
955,3,1,342
956,0,1,158
956,0,0,158
957,3,1,343
958,4,1,158
958,4,0,158
959,1,1,159
959,1,0,159
960,3,1,344
961,2,0,159
961,2,1,159
962,4,1,159
962,4,0,159
963,0,0,160
963,0,1,160
964,1,0,160
964,1,1,160
965,4,1,344
966,4,1,345
967,2,1,160
967,2,0,160
968,4,0,160
968,4,1,160
969,0,1,162
969,0,0,162
970,1,1,162
970,1,0,162
971,2,1,162
971,2,0,162
972,3,1,346
973,4,0,162
973,4,1,162
974,4,1,346
975,0,0,163
975,0,1,163
976,2,1,163
976,2,0,163
977,4,0,163
977,4,1,163
978,0,0,164
978,0,1,164
979,3,1,347
980,4,1,347
981,1,1,164
981,1,0,164
982,2,0,164
982,2,1,164
983,3,1,348
984,4,1,348
985,4,0,164
985,4,1,164
986,0,1,165
986,0,0,165
987,1,0,165
987,1,1,165
988,2,1,165
988,2,0,165
989,3,1,349
990,4,0,165
990,4,1,165
991,4,1,349
992,3,1,350
993,0,0,166
993,0,1,166
994,4,1,350
995,1,0,166
995,1,1,166
996,4,1,166
996,4,0,166
997,3,1,351
998,0,1,167
998,0,0,167
999,1,1,167
999,1,0,167
1000,2,1,167
1000,2,0,167
1001,4,0,167
1001,4,1,167
1002,0,1,168
1002,0,0,168
1003,1,1,168
1003,1,0,168
1004,4,1,351
1005,4,1,352
1006,2,1,168
1006,2,0,168
1007,3,1,353
1008,4,0,168
1008,4,1,168
1009,0,0,169
1009,0,1,169
1010,4,1,353
1011,3,1,354
1012,4,1,354
1013,1,0,169
1013,1,1,169
1014,4,1,355
1015,2,0,169
1015,2,1,169
1016,3,1,356
1017,4,1,169
1017,4,0,169
1018,4,1,356
1019,4,1,357
1020,1,1,170
1020,1,0,170
1021,0,1,171
1021,0,0,171
1022,3,1,358
1023,4,1,358
1024,1,0,171
1024,1,1,171
1025,3,1,359
1026,2,0,171
1026,2,1,171
1027,0,1,172
1027,0,0,172
1028,4,1,359
1029,1,1,172
1029,1,0,172
1030,4,1,360
1031,4,1,361
1032,3,1,362
1033,4,1,362
1034,4,0,172
1034,4,1,172
1035,0,0,173
1035,0,1,173
1036,3,1,363
1037,1,0,173
1037,1,1,173
1038,0,0,174
1038,0,1,174
1039,2,0,174
1039,2,1,174
1040,4,1,363
1041,0,1,175
1041,0,0,175
1042,3,1,364
1043,2,0,175
1043,2,1,175
1044,4,1,175
1044,4,0,175
1045,4,1,364
1046,0,1,176
1046,0,0,176
1047,3,1,365
1048,4,1,365
1049,3,1,366
1050,4,1,366
1051,1,1,176
1051,1,0,176
1052,3,1,367
1053,3,1,368
1054,4,1,368
1055,3,1,369
1056,4,1,369
1057,3,1,370
1058,4,1,370
1059,3,1,372
1060,2,1,176
1060,2,0,176
1061,4,1,372
1062,0,1,177
1062,0,0,177
1063,1,1,177
1063,1,0,177
1064,4,1,373
1065,4,1,374
1066,2,0,177
1066,2,1,177
1067,4,1,177
1067,4,0,177
1068,3,1,375
1069,1,1,178
1069,1,0,178
1070,2,1,178
1070,2,0,178
1071,4,1,375
1072,4,1,178
1072,4,0,178
1073,3,1,376
1074,0,0,179
1074,0,1,179
1075,1,0,179
1075,1,1,179
1076,4,1,376
1077,3,1,377
1078,4,1,377
1079,3,1,378
1080,0,0,180
1080,0,1,180
1081,1,1,180
1081,1,0,180
1082,4,1,378
1083,2,0,180
1083,2,1,180
1084,4,0,180
1084,4,1,180
1085,4,1,379
1086,2,1,181
1086,2,0,181
1087,3,1,380
1088,4,0,181
1088,4,1,181
1089,0,1,182
1089,0,0,182
1090,4,1,380
1091,1,1,182
1091,1,0,182
1092,3,1,381
1093,4,1,381
1094,3,1,382
1095,2,0,182
1095,2,1,182
1096,4,0,182
1096,4,1,182
1097,4,1,382
1098,3,1,383
1099,0,0,183
1099,0,1,183
1100,1,0,183
1100,1,1,183
1101,4,1,383
1102,3,1,384
1103,4,1,384
1104,4,1,385
1105,3,1,386
1106,4,1,386
1107,3,1,387
1108,3,1,388
1109,2,0,183
1109,2,1,183
1110,4,1,388
1111,3,1,389
1112,4,1,183
1112,4,0,183
1113,0,0,184
1113,0,1,184
1114,4,1,389
1115,3,1,390
1116,1,1,184
1116,1,0,184
1117,2,0,184
1117,2,1,184
1118,1,1,185
1118,1,0,185
1119,2,1,185
1119,2,0,185
1120,4,0,185
1120,4,1,185
1121,0,0,186
1121,0,1,186
1122,1,1,186
1122,1,0,186
1123,4,1,390
1124,3,1,391
1125,2,1,186
1125,2,0,186
1126,4,1,392
1127,3,1,393
1128,4,1,393
1129,3,1,394
1130,4,1,394
1131,4,1,395
1132,4,1,396
1133,4,1,186
1133,4,0,186
1134,1,0,187
1134,1,1,187
1135,2,0,187
1135,2,1,187
1136,4,1,397
1137,3,1,398
1138,4,1,398
1139,4,0,187
1139,4,1,187
1140,1,1,188
1140,1,0,188
1141,3,1,399
1142,2,0,188
1142,2,1,188
1143,4,1,400
1144,4,1,188
1144,4,0,188
1145,0,1,189
1145,0,0,189
1146,3,1,401
1147,1,1,189
1147,1,0,189
1148,4,1,401
1149,2,1,189
1149,2,0,189
1150,4,1,403
